ユースケースID,ユースケース機能ID,ユースケース,カテゴリ,アプリ(実データ列),判定理由
UC-2811,UC-GL-737,ソフトウェア開発管理の運用要件反映,ソフトウェア開発および管理,GitLab; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2812,UC-GL-738,ソフトウェア開発管理の開発KPIの定義,ソフトウェア開発および管理,GitLab; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2813,UC-GL-739,ソフトウェア開発管理の開発プロセスの評価,ソフトウェア開発および管理,GitLab; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2814,UC-GL-740,ソフトウェア開発管理の開発プロセス標準化,ソフトウェア開発および管理,GitLab; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2815,UC-GL-741,ソフトウェア開発管理の開発指標の可視化,ソフトウェア開発および管理,GitLab; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2816,UC-GL-742,ソフトウェア開発管理の開発標準の策定,ソフトウェア開発および管理,GitLab; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2817,UC-GL-743,ソフトウェア開発管理の開発環境の標準化,ソフトウェア開発および管理,GitLab; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2818,UC-GL-744,ソフトウェア開発管理の開発生産性可視化,ソフトウェア開発および管理,GitLab; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2819,UC-GL-745,ソフトウェア開発管理の開発者オンボーディング,ソフトウェア開発および管理,GitLab; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2820,UC-GL-746,ソフトウェア開発管理の障害対応の開発連携,ソフトウェア開発および管理,GitLab; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2821,UC-GL-747,ソフトウェア開発管理の静的解析の導入,ソフトウェア開発および管理,GitLab; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2822,UC-GL-748,ソフトウェア開発管理の非機能テストの計画,ソフトウェア開発および管理,GitLab; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2823,UC-GL-749,ソフトウェア開発管理の非機能テスト設計,ソフトウェア開発および管理,GitLab; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2824,UC-GF-099,注釈API連携,ソフトウェア開発および管理,Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2825,UC-KC-35,アプリ連携管理,ソフトウェア開発および管理,Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2826,UC-KC-36,サービスアカウント,ソフトウェア開発および管理,Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2827,UC-ZU-37,メッセージ取得API,ソフトウェア開発および管理,Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2828,UC-ZU-36,ファイルAPI連携,ソフトウェア開発および管理,Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2829,UC-N8N-06,API運用,ソフトウェア開発および管理,n8n,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2830,UC-N8N-07,CLI運用,ソフトウェア開発および管理,n8n,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2831,UC-N8N-11,ノード分類管理,ソフトウェア開発および管理,n8n,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2832,UC-N8N-10,トリガ/アクション設計,ソフトウェア開発および管理,n8n,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2833,UC-N8N-12,メタ情報取得,ソフトウェア開発および管理,n8n,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2901,UC-EXA-24,失敗時通知,デプロイメント管理,Exastro ITA API; n8n; GitLab; Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2902,UC-EXA-19,作業フロー自動化,デプロイメント管理,Exastro ITA Web / Exastro ITA API,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2903,UC-EXA-18,フロー設計,デプロイメント管理,Exastro ITA Web / Exastro ITA API,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2904,UC-EXA-20,実行ノード制御,デプロイメント管理,Exastro ITA Web / Exastro ITA API,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2905,UC-EXA-22,構成自動化,デプロイメント管理,Exastro ITA Web / Exastro ITA API,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2906,UC-EXA-21,実行対象管理,デプロイメント管理,Exastro ITA Web / Exastro ITA API,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2907,UC-GL-750,デプロイメント管理のアプリ/インフラの同時展開,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2908,UC-GL-751,デプロイメント管理のアラート連携,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2909,UC-GL-752,デプロイメント管理のアーティファクト署名確認,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2910,UC-GL-753,デプロイメント管理のカナリアデプロイ,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2911,UC-GL-754,デプロイメント管理のコンテナイメージ配布,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2912,UC-GL-755,デプロイメント管理のサードパーティリリース連携,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2913,UC-GL-756,デプロイメント管理のサーバ再起動/サービス再起動,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2914,UC-GL-757,デプロイメント管理のステージング環境への配置,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2915,UC-GL-758,デプロイメント管理のスモークテスト連携,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2916,UC-GL-759,デプロイメント管理のセキュリティパッチ展開,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2917,UC-GL-760,デプロイメント管理のダークローンチ,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2918,UC-GL-761,デプロイメント管理のテスト環境への配置,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2919,UC-GL-762,デプロイメント管理のテナント別のリリース計画,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2920,UC-GL-763,デプロイメント管理のテナント別ロールアウト,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2921,UC-GL-764,デプロイメント管理のデプロイに伴うDB変更の管理,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2922,UC-GL-765,デプロイメント管理のデプロイメントのSLA管理,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2923,UC-GL-766,デプロイメント管理のデプロイメントのトレーサビリティ,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2924,UC-GL-768,デプロイメント管理のデプロイメントスケジュール管理,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2925,UC-GL-769,デプロイメント管理のデプロイメント前検証,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2926,UC-GL-770,デプロイメント管理のデプロイメント手順標準化,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2927,UC-GL-771,デプロイメント管理のデプロイメント自動化,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2928,UC-GL-772,デプロイメント管理のデプロイメント計画の策定,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2929,UC-GL-773,デプロイメント管理のデプロイ候補の選定,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2930,UC-GL-774,デプロイメント管理のデプロイ前のリスク評価,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2931,UC-GL-775,デプロイメント管理のデプロイ失敗の検知と回復,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2932,UC-GL-776,デプロイメント管理のデプロイ失敗時の切り戻し,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2933,UC-GL-777,デプロイメント管理のデプロイ後の影響観測,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2934,UC-GL-778,デプロイメント管理のデプロイ成功判定,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2935,UC-GL-779,デプロイメント管理のデプロイ運用の継続的改善,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2936,UC-GL-780,デプロイメント管理のデータベースマイグレーション連携,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2937,UC-GL-781,デプロイメント管理のドキュメント同時更新,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2938,UC-GL-782,デプロイメント管理のバックアウト手順のリハーサル,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2939,UC-GL-783,デプロイメント管理のバージョン互換性の担保,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2940,UC-GL-784,デプロイメント管理のバージョン管理,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2941,UC-GL-785,デプロイメント管理のパイプライン連携,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2942,UC-GL-786,デプロイメント管理のビッグバンデプロイ,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2943,UC-GL-787,デプロイメント管理のフィーチャーフラグ切替,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2944,UC-GL-788,デプロイメント管理のフェーズドデプロイ,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2945,UC-GL-789,デプロイメント管理のブルーグリーンデプロイ,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2946,UC-GL-790,デプロイメント管理のブループリント管理,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2947,UC-GL-791,デプロイメント管理のホットフィックス展開,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2948,UC-GL-792,デプロイメント管理のポストデプロイ検証,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2949,UC-GL-793,デプロイメント管理のメンテナンス告知,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2950,UC-GL-794,デプロイメント管理のライセンス配布,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2951,UC-GL-795,デプロイメント管理のリハーサル/予行,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2952,UC-GL-797,デプロイメント管理のリリースウィンドウ調整,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2953,UC-GL-798,デプロイメント管理のリリースカレンダーの同期,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2954,UC-GL-799,デプロイメント管理のリリースコミュニケーション標準化,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2955,UC-GL-800,デプロイメント管理のリリースノート連携,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2956,UC-GL-801,デプロイメント管理のリリースパッケージの標準化,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2957,UC-GL-802,デプロイメント管理のリリース後レビュー,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2958,UC-GL-803,デプロイメント管理のリリース成果の測定,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2959,UC-GL-804,デプロイメント管理のリリース承認ログの保持,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2960,UC-GL-806,デプロイメント管理のリージョン別の展開計画,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2961,UC-GL-807,デプロイメント管理のログ取得,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2962,UC-GL-808,デプロイメント管理のローリングデプロイ,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2963,UC-GL-809,デプロイメント管理のロールバック基準の明確化,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2964,UC-GL-810,デプロイメント管理のロールバック実行,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2965,UC-GL-811,デプロイメント管理のロールバック計画,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2966,UC-GL-812,デプロイメント管理のロールフォワード戦略,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2967,UC-GL-813,デプロイメント管理の一時的な監視強化,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2968,UC-GL-814,デプロイメント管理の不要コンポーネントの撤去,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2969,UC-GL-815,デプロイメント管理の並列展開/逐次展開,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2970,UC-GL-816,デプロイメント管理の事前影響範囲の説明,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2971,UC-GL-817,デプロイメント管理の依存サービスの互換性確認,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2972,UC-GL-818,デプロイメント管理の依存サービスの同期,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2973,UC-GL-819,デプロイメント管理の依存モジュールの更新管理,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2974,UC-GL-820,デプロイメント管理の依存関係確認,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2975,UC-GL-821,デプロイメント管理の健全性チェック,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2976,UC-GL-822,デプロイメント管理の再実行/再配布の管理,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2977,UC-GL-823,デプロイメント管理の再現性検証,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2978,UC-GL-824,デプロイメント管理の品質チェックリスト運用,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2979,UC-GL-825,デプロイメント管理の地域別ロールアウト,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2980,UC-GL-826,デプロイメント管理の変更凍結の運用,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2981,UC-GL-827,デプロイメント管理の変更凍結期間の考慮,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2982,UC-GL-828,デプロイメント管理の変更差分の最小化,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2983,UC-GL-829,デプロイメント管理の対象環境の識別,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2984,UC-GL-830,デプロイメント管理の展開ウィンドウの最適化,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2985,UC-GL-831,デプロイメント管理の展開履歴管理,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2986,UC-GL-832,デプロイメント管理の展開工数の削減,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2987,UC-GL-833,デプロイメント管理の展開後の検証レポート,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2988,UC-GL-834,デプロイメント管理の展開後の監視強化,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2989,UC-GL-835,デプロイメント管理の展開範囲の限定,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2990,UC-GL-836,デプロイメント管理の展開順序制御,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2991,UC-GL-837,デプロイメント管理の影響の可視化と通知,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2992,UC-GL-838,デプロイメント管理の影響評価,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2993,UC-GL-839,デプロイメント管理の復旧手順整備,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2994,UC-GL-840,デプロイメント管理の成果物のプロモーション,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2995,UC-GL-841,デプロイメント管理の成果物の保管/廃棄,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2996,UC-GL-842,デプロイメント管理の手動ゲート,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2997,UC-GL-843,デプロイメント管理の承認ゲートの設置,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2998,UC-GL-844,デプロイメント管理の承認ログ,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2999,UC-GL-845,デプロイメント管理の本番環境への配置,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3000,UC-GL-846,デプロイメント管理の構成の同期,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3001,UC-GL-847,デプロイメント管理の構成変更の影響確認,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3002,UC-GL-848,デプロイメント管理の構成変更の適用,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3003,UC-GL-849,デプロイメント管理の構成差分の自動検知,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3004,UC-GL-850,デプロイメント管理の段階的ユーザ通知,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3005,UC-GL-851,デプロイメント管理の段階的ロールアウト,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3006,UC-GL-852,デプロイメント管理の段階的承認フロー,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3007,UC-GL-853,デプロイメント管理の環境クリーンアップ,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3008,UC-GL-854,デプロイメント管理の環境差分の最小化,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3009,UC-GL-855,デプロイメント管理の環境設定のパラメータ化,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3010,UC-GL-857,デプロイメント管理の監視連携,デプロイメント管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
