ユースケースID,ユースケース機能ID,カテゴリ,ユースケース,本レポジトリシステムでの実現状況
UC-4801,UC-GF-025,監視およびイベント管理,アラートルール管理,🔺
UC-4802,UC-GF-026,監視およびイベント管理,アラート定義,🔺
UC-4803,UC-GF-027,監視およびイベント管理,アラート履歴,🔺
UC-4804,UC-GF-076,監視およびイベント管理,監視およびイベント管理のSLA/目標管理,🔺
UC-4805,UC-GF-077,監視およびイベント管理,監視およびイベント管理のエスカレーション/連携,🔺
UC-4806,UC-GF-078,監視およびイベント管理,監視およびイベント管理のデータ品質の維持,🔺
UC-4807,UC-GF-079,監視およびイベント管理,監視およびイベント管理のナレッジの更新,🔺
UC-4808,UC-GF-080,監視およびイベント管理,監視およびイベント管理のレポート/振り返り,🔺
UC-4809,UC-GF-081,監視およびイベント管理,監視およびイベント管理のレポートの標準化,🔺
UC-4810,UC-GF-082,監視およびイベント管理,監視およびイベント管理の依存関係の整理,🔺
UC-4811,UC-GF-083,監視およびイベント管理,監視およびイベント管理の分類/優先度付け,🔺
UC-4812,UC-GF-084,監視およびイベント管理,監視およびイベント管理の受付/登録,🔺
UC-4813,UC-GF-085,監視およびイベント管理,監視およびイベント管理の品質保証/監査,🔺
UC-4814,UC-GF-086,監視およびイベント管理,監視およびイベント管理の実行/処理,🔺
UC-4815,UC-GF-087,監視およびイベント管理,監視およびイベント管理の承認/レビュー,🔺
UC-4816,UC-GF-088,監視およびイベント管理,監視およびイベント管理の改善施策の実施,🔺
UC-4817,UC-GF-089,監視およびイベント管理,監視およびイベント管理の方針/標準定義,🔺
UC-4818,UC-GF-090,監視およびイベント管理,監視およびイベント管理の標準テンプレートの整備,🔺
UC-4819,UC-GF-091,監視およびイベント管理,監視およびイベント管理の継続的改善,🔺
UC-4820,UC-GF-092,監視およびイベント管理,監視およびイベント管理の自動化/効率化,🔺
UC-4821,UC-GF-093,監視およびイベント管理,監視およびイベント管理の調査/分析,🔺
UC-4822,UC-GF-094,監視およびイベント管理,監視およびイベント管理の通知/コミュニケーション,🔺
UC-4823,UC-GF-095,監視およびイベント管理,監視およびイベント管理の運用手順の整備,🔺
UC-4824,UC-GF-096,監視およびイベント管理,監視およびイベント管理の関係者合意の形成,🔺
UC-4825,UC-ZU-38,監視およびイベント管理,リアルタイム連携,🔺
UC-4826,UC-CW-01,監視およびイベント管理,アラート自動起票,🔺
UC-4827,UC-CW-01,監視およびイベント管理,CloudWatch/SNS 通知を受信し、整形して Zulip へ通知する（必要情報を抽出し、運用者が判断できる要約を投稿）,🔺
UC-4828,UC-CW-03,監視およびイベント管理,Webhook トークン検証で不正送信を拒否する（`N8N_CLOUDWATCH_WEBHOOK_SECRET` 適用時）,🔺
UC-4829,UC-CW-02,監視およびイベント管理,dry-run で外部送信せず、整形結果のみを確認する（誤通知リスクを抑止して検証する）,🔺
UC-4830,UC-CW-04,監視およびイベント管理,複数チャネルの部分失敗を可視化し、全体として完走する（例: Zulip 成功 + GitLab 失敗を `results[]`/`status_code=207` で表現）,🔺
UC-4831,UC-CW-05,監視およびイベント管理,送信先（Zulip/GitLab/Grafana）を段階的に有効化し、影響範囲を制御する,🔺
UC-4832,UC-N8N-09,監視およびイベント管理,インスタンスイベント連携,🔺
UC-5001,UC-GL-222,組織変更管理,組織変更管理のKPI/指標定義,🔺
UC-5002,UC-GL-223,組織変更管理,組織変更管理のガバナンスと方針運用の整備,🔺
UC-5003,UC-GL-224,組織変更管理,組織変更管理のステークホルダー/関係者調整,🔺
UC-5004,UC-GL-225,組織変更管理,組織変更管理のツール/データ整備,🔺
UC-5005,UC-GL-226,組織変更管理,組織変更管理のリスク/例外レビュー,🔺
UC-5006,UC-GL-227,組織変更管理,組織変更管理のリスクと例外の管理,🔺
UC-5007,UC-GL-228,組織変更管理,組織変更管理のレビュー/監査の実施,🔺
UC-5008,UC-GL-229,組織変更管理,組織変更管理のロードマップ策定,🔺
UC-5009,UC-GL-230,組織変更管理,組織変更管理の主要関係者の合意形成,🔺
UC-5010,UC-GL-231,組織変更管理,組織変更管理の変更影響の分析,🔺
UC-5011,UC-GL-232,組織変更管理,組織変更管理の定期レビュー/報告,🔺
UC-5012,UC-GL-233,組織変更管理,組織変更管理の実行計画の策定,🔺
UC-5013,UC-GL-234,組織変更管理,組織変更管理の役割/責任（RACI）定義,🔺
UC-5014,UC-GL-235,組織変更管理,組織変更管理の意思決定基準の明文化,🔺
UC-5015,UC-GL-236,組織変更管理,組織変更管理の成果物の記録/版管理,🔺
UC-5016,UC-GL-237,組織変更管理,組織変更管理の指標の定義と可視化,🔺
UC-5017,UC-GL-238,組織変更管理,組織変更管理の改善施策の優先順位付け,🔺
UC-5018,UC-GL-239,組織変更管理,組織変更管理の教育/オンボーディング,🔺
UC-5019,UC-GL-240,組織変更管理,組織変更管理の教育/展開/浸透,🔺
UC-5020,UC-GL-241,組織変更管理,組織変更管理の方針/ポリシー策定,🔺
UC-5021,UC-GL-242,組織変更管理,組織変更管理の標準/ガイドライン整備,🔺
UC-5022,UC-GL-243,組織変更管理,組織変更管理の現状評価/ギャップ分析,🔺
UC-5023,UC-GL-244,組織変更管理,組織変更管理の目標/ターゲット設定,🔺
UC-5024,UC-GL-245,組織変更管理,組織変更管理の運用手順と標準の整備,🔺
UC-5101,UC-GL-246,継続的改善,継続的改善のKPI/指標定義,🔺
UC-5102,UC-GL-247,継続的改善,継続的改善のガバナンスと方針運用の整備,🔺
UC-5103,UC-GL-248,継続的改善,継続的改善のステークホルダー/関係者調整,🔺
UC-5104,UC-GL-249,継続的改善,継続的改善のツール/データ整備,🔺
UC-5105,UC-GL-250,継続的改善,継続的改善のリスク/例外レビュー,🔺
UC-5106,UC-GL-251,継続的改善,継続的改善のリスクと例外の管理,🔺
UC-5107,UC-GL-252,継続的改善,継続的改善のレビュー/監査の実施,🔺
UC-5108,UC-GL-253,継続的改善,継続的改善のロードマップ策定,🔺
UC-5109,UC-GL-254,継続的改善,継続的改善の主要関係者の合意形成,🔺
UC-5110,UC-GL-255,継続的改善,継続的改善の変更影響の分析,🔺
UC-5111,UC-GL-256,継続的改善,継続的改善の定期レビュー/報告,🔺
UC-5112,UC-GL-257,継続的改善,継続的改善の実行計画の策定,🔺
UC-5113,UC-GL-258,継続的改善,継続的改善の役割/責任（RACI）定義,🔺
UC-5114,UC-GL-259,継続的改善,継続的改善の意思決定基準の明文化,🔺
UC-5115,UC-GL-260,継続的改善,継続的改善の成果物の記録/版管理,🔺
UC-5116,UC-GL-261,継続的改善,継続的改善の指標の定義と可視化,🔺
UC-5117,UC-GL-262,継続的改善,継続的改善の改善施策の優先順位付け,🔺
UC-5118,UC-GL-263,継続的改善,継続的改善の教育/オンボーディング,🔺
UC-5119,UC-GL-264,継続的改善,継続的改善の教育/展開/浸透,🔺
UC-5120,UC-GL-265,継続的改善,継続的改善の方針/ポリシー策定,🔺
UC-5121,UC-GL-266,継続的改善,継続的改善の標準/ガイドライン整備,🔺
UC-5122,UC-GL-267,継続的改善,継続的改善の現状評価/ギャップ分析,🔺
UC-5123,UC-GL-268,継続的改善,継続的改善の目標/ターゲット設定,🔺
UC-5124,UC-GL-269,継続的改善,継続的改善の運用手順と標準の整備,🔺
UC-5125,UC-GL-876,継続的改善,ポストモーテム起票,🔺
UC-5201,UC-ZU-05,関係管理,関係管理のKPI/指標定義,🔺
UC-5202,UC-ZU-06,関係管理,関係管理のガバナンスと方針運用の整備,🔺
UC-5203,UC-ZU-07,関係管理,関係管理のステークホルダー/関係者調整,🔺
UC-5204,UC-ZU-08,関係管理,関係管理のツール/データ整備,🔺
UC-5205,UC-ZU-09,関係管理,関係管理のリスク/例外レビュー,🔺
UC-5206,UC-ZU-10,関係管理,関係管理のリスクと例外の管理,🔺
UC-5207,UC-ZU-11,関係管理,関係管理のレビュー/監査の実施,🔺
UC-5208,UC-ZU-12,関係管理,関係管理のロードマップ策定,🔺
UC-5209,UC-ZU-13,関係管理,関係管理の主要関係者の合意形成,🔺
UC-5210,UC-ZU-14,関係管理,関係管理の変更影響の分析,🔺
UC-5211,UC-ZU-15,関係管理,関係管理の定期レビュー/報告,🔺
UC-5212,UC-ZU-16,関係管理,関係管理の実行計画の策定,🔺
UC-5213,UC-ZU-17,関係管理,関係管理の役割/責任（RACI）定義,🔺
UC-5214,UC-ZU-18,関係管理,関係管理の意思決定基準の明文化,🔺
UC-5215,UC-ZU-19,関係管理,関係管理の成果物の記録/版管理,🔺
UC-5216,UC-ZU-20,関係管理,関係管理の指標の定義と可視化,🔺
UC-5217,UC-ZU-21,関係管理,関係管理の改善施策の優先順位付け,🔺
UC-5218,UC-ZU-22,関係管理,関係管理の教育/オンボーディング,🔺
UC-5219,UC-ZU-23,関係管理,関係管理の教育/展開/浸透,🔺
UC-5220,UC-ZU-24,関係管理,関係管理の方針/ポリシー策定,🔺
UC-5221,UC-ZU-25,関係管理,関係管理の標準/ガイドライン整備,🔺
UC-5222,UC-ZU-26,関係管理,関係管理の現状評価/ギャップ分析,🔺
UC-5223,UC-ZU-27,関係管理,関係管理の目標/ターゲット設定,🔺
UC-5224,UC-ZU-28,関係管理,関係管理の運用手順と標準の整備,🔺
UC-5225,UC-ZS-02,関係管理,`action=archive` で Zulip ストリームをアーカイブする,🔺
UC-5226,UC-ZS-01,関係管理,`action=create` で Zulip ストリームを作成する,🔺
UC-5227,UC-ZS-06,関係管理,`realm`（tenant）に応じて Zulip 接続先/認証情報を切り替え、単一ワークフローで複数環境を安全に運用する,🔺
UC-5228,UC-ZS-03,関係管理,dry-run で入力検証のみを実行し、Zulip API を呼ばずに整合性を確認する,🔺
UC-5229,UC-ZS-08,関係管理,dry-run 以外で資格情報不足を検出し、外部 API を呼ばずに安全に失敗させる（fail-fast）,🔺
UC-5230,UC-ZS-05,関係管理,入力スキーマ不正（必須キー不足等）を検出して拒否し、誤操作を抑制する,🔺
UC-5231,UC-ZS-04,関係管理,冪等に完走する（既に存在/既にアーカイブ等を安全側で許容する）,🔺
UC-5232,UC-ZS-07,関係管理,応答（およびログ）に `realm` と `zulip_base_url` を含め、追跡性（監査性）を確保する,🔺
