ユースケースID,ユースケース機能ID,ユースケース,カテゴリ,アプリ(実データ列),判定理由,再分類,再分類理由
UC-2213,UC-GL-408,サービス継続管理の改善施策の実施,サービス継続管理,GitLab; Grafana,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2214,UC-GL-409,サービス継続管理の方針/標準定義,サービス継続管理,GitLab; Grafana,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2215,UC-GL-410,サービス継続管理の標準テンプレートの整備,サービス継続管理,GitLab; Grafana,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2216,UC-GL-411,サービス継続管理の継続的改善,サービス継続管理,GitLab; Grafana,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2217,UC-GL-412,サービス継続管理の自動化/効率化,サービス継続管理,GitLab; Grafana,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2218,UC-GL-413,サービス継続管理の調査/分析,サービス継続管理,GitLab; Grafana,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2219,UC-GL-414,サービス継続管理の通知/コミュニケーション,サービス継続管理,GitLab; Grafana,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2220,UC-GL-415,サービス継続管理の運用手順の整備,サービス継続管理,GitLab; Grafana,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2221,UC-GL-416,サービス継続管理の関係者合意の形成,サービス継続管理,GitLab; Grafana,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2401,UC-N8N-05,業務自動化,サービス要求管理; 変更管理,n8n,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/15_change_and_release.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2501,UC-GL-417,サービス設計のSLA/目標管理,サービス設計,GitLab,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/13_quality_assurance_sla.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2502,UC-GL-418,サービス設計のエスカレーション/連携,サービス設計,GitLab,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2503,UC-GL-419,サービス設計のデータ品質の維持,サービス設計,GitLab,根拠: scripts/itsm/gitlab/templates/technical-management/docs/usecases/31_system_of_record.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2504,UC-GL-420,サービス設計のナレッジの更新,サービス設計,GitLab,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/14_knowledge_management.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2505,UC-GL-421,サービス設計のレポート/振り返り,サービス設計,GitLab,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2506,UC-GL-422,サービス設計のレポートの標準化,サービス設計,GitLab,根拠: scripts/itsm/gitlab/templates/technical-management/docs/usecases/26_standardization.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2507,UC-GL-423,サービス設計の依存関係の整理,サービス設計,GitLab,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2508,UC-GL-424,サービス設計の分類/優先度付け,サービス設計,GitLab,根拠: scripts/itsm/gitlab/templates/general-management/docs/usecases/02_demand_prioritization.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2509,UC-GL-425,サービス設計の受付/登録,サービス設計,GitLab,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2510,UC-GL-426,サービス設計の品質保証/監査,サービス設計,GitLab,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/13_quality_assurance_sla.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2511,UC-GL-427,サービス設計の実行/処理,サービス設計,GitLab,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2512,UC-GL-428,サービス設計の承認/レビュー,サービス設計,GitLab,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2513,UC-GL-429,サービス設計の改善施策の実施,サービス設計,GitLab,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2514,UC-GL-430,サービス設計の方針/標準定義,サービス設計,GitLab,根拠: scripts/itsm/gitlab/templates/technical-management/docs/usecases/26_standardization.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2515,UC-GL-431,サービス設計の標準テンプレートの整備,サービス設計,GitLab,根拠: scripts/itsm/gitlab/templates/technical-management/docs/usecases/26_standardization.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2516,UC-GL-432,サービス設計の継続的改善,サービス設計,GitLab,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2517,UC-GL-433,サービス設計の自動化/効率化,サービス設計,GitLab,根拠: scripts/itsm/gitlab/templates/technical-management/docs/usecases/22_automation.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2518,UC-GL-434,サービス設計の調査/分析,サービス設計,GitLab,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2519,UC-GL-435,サービス設計の通知/コミュニケーション,サービス設計,GitLab,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2520,UC-GL-436,サービス設計の運用手順の整備,サービス設計,GitLab,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2521,UC-GL-437,サービス設計の関係者合意の形成,サービス設計,GitLab,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-3602,UC-GL-463,リリース管理のSLA/目標管理,リリース管理,GitLab; n8n; Exastro ITA Web / Exastro ITA API; gitlab_push_notify,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/15_change_and_release.md.tpl; apps/itsm_core/gitlab_push_notify/workflows/gitlab_push_notify.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-3603,UC-GL-464,リリース管理のエスカレーション/連携,リリース管理,GitLab; n8n; Exastro ITA Web / Exastro ITA API; gitlab_push_notify,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/15_change_and_release.md.tpl; apps/itsm_core/gitlab_push_notify/workflows/gitlab_push_notify.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-3604,UC-GL-465,リリース管理のデータ品質の維持,リリース管理,GitLab; n8n; Exastro ITA Web / Exastro ITA API; gitlab_push_notify,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/15_change_and_release.md.tpl; apps/itsm_core/gitlab_push_notify/workflows/gitlab_push_notify.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-3605,UC-GL-466,リリース管理のナレッジの更新,リリース管理,GitLab; n8n; Exastro ITA Web / Exastro ITA API; gitlab_push_notify,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/15_change_and_release.md.tpl; apps/itsm_core/gitlab_push_notify/workflows/gitlab_push_notify.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-3606,UC-GL-467,リリース管理のレポート/振り返り,リリース管理,GitLab; n8n; Exastro ITA Web / Exastro ITA API; gitlab_push_notify,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/15_change_and_release.md.tpl; apps/itsm_core/gitlab_push_notify/workflows/gitlab_push_notify.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-3607,UC-GL-468,リリース管理のレポートの標準化,リリース管理,GitLab; n8n; Exastro ITA Web / Exastro ITA API; gitlab_push_notify,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/15_change_and_release.md.tpl; apps/itsm_core/gitlab_push_notify/workflows/gitlab_push_notify.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-3608,UC-GL-469,リリース管理の依存関係の整理,リリース管理,GitLab; n8n; Exastro ITA Web / Exastro ITA API; gitlab_push_notify,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/15_change_and_release.md.tpl; apps/itsm_core/gitlab_push_notify/workflows/gitlab_push_notify.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-3609,UC-GL-470,リリース管理の分類/優先度付け,リリース管理,GitLab; n8n; Exastro ITA Web / Exastro ITA API; gitlab_push_notify,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/15_change_and_release.md.tpl; apps/itsm_core/gitlab_push_notify/workflows/gitlab_push_notify.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-3610,UC-GL-471,リリース管理の受付/登録,リリース管理,GitLab; n8n; Exastro ITA Web / Exastro ITA API; gitlab_push_notify,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/15_change_and_release.md.tpl; apps/itsm_core/gitlab_push_notify/workflows/gitlab_push_notify.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-3611,UC-GL-472,リリース管理の品質保証/監査,リリース管理,GitLab; n8n; Exastro ITA Web / Exastro ITA API; gitlab_push_notify,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/15_change_and_release.md.tpl; apps/itsm_core/gitlab_push_notify/workflows/gitlab_push_notify.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-3612,UC-GL-473,リリース管理の実行/処理,リリース管理,GitLab; n8n; Exastro ITA Web / Exastro ITA API; gitlab_push_notify,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/15_change_and_release.md.tpl; apps/itsm_core/gitlab_push_notify/workflows/gitlab_push_notify.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-3613,UC-GL-474,リリース管理の承認/レビュー,リリース管理,GitLab; n8n; Exastro ITA Web / Exastro ITA API; gitlab_push_notify,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/15_change_and_release.md.tpl; apps/itsm_core/gitlab_push_notify/workflows/gitlab_push_notify.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-3614,UC-GL-475,リリース管理の改善施策の実施,リリース管理,GitLab; n8n; Exastro ITA Web / Exastro ITA API; gitlab_push_notify,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/15_change_and_release.md.tpl; apps/itsm_core/gitlab_push_notify/workflows/gitlab_push_notify.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-3615,UC-GL-476,リリース管理の方針/標準定義,リリース管理,GitLab; n8n; Exastro ITA Web / Exastro ITA API; gitlab_push_notify,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/15_change_and_release.md.tpl; apps/itsm_core/gitlab_push_notify/workflows/gitlab_push_notify.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-3616,UC-GL-477,リリース管理の標準テンプレートの整備,リリース管理,GitLab; n8n; Exastro ITA Web / Exastro ITA API; gitlab_push_notify,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/15_change_and_release.md.tpl; apps/itsm_core/gitlab_push_notify/workflows/gitlab_push_notify.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-3617,UC-GL-478,リリース管理の継続的改善,リリース管理,GitLab; n8n; Exastro ITA Web / Exastro ITA API; gitlab_push_notify,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/15_change_and_release.md.tpl; apps/itsm_core/gitlab_push_notify/workflows/gitlab_push_notify.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-3618,UC-GL-479,リリース管理の自動化/効率化,リリース管理,GitLab; n8n; Exastro ITA Web / Exastro ITA API; gitlab_push_notify,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/15_change_and_release.md.tpl; apps/itsm_core/gitlab_push_notify/workflows/gitlab_push_notify.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-3619,UC-GL-480,リリース管理の調査/分析,リリース管理,GitLab; n8n; Exastro ITA Web / Exastro ITA API; gitlab_push_notify,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/15_change_and_release.md.tpl; apps/itsm_core/gitlab_push_notify/workflows/gitlab_push_notify.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-3620,UC-GL-481,リリース管理の通知/コミュニケーション,リリース管理,GitLab; n8n; Exastro ITA Web / Exastro ITA API; gitlab_push_notify,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/15_change_and_release.md.tpl; apps/itsm_core/gitlab_push_notify/workflows/gitlab_push_notify.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-3621,UC-GL-482,リリース管理の運用手順の整備,リリース管理,GitLab; n8n; Exastro ITA Web / Exastro ITA API; gitlab_push_notify,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/15_change_and_release.md.tpl; apps/itsm_core/gitlab_push_notify/workflows/gitlab_push_notify.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-3622,UC-GL-483,リリース管理の関係者合意の形成,リリース管理,GitLab; n8n; Exastro ITA Web / Exastro ITA API; gitlab_push_notify,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/15_change_and_release.md.tpl; apps/itsm_core/gitlab_push_notify/workflows/gitlab_push_notify.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
