ユースケースID,ユースケース機能ID,ユースケース,カテゴリ,設計追加先MD,設計ファミリ,既存機能への追加候補,新規app/script必要,提案コンポーネント種別,提案コンポーネント名,新規実装スコープ
UC-3613,UC-GL-474,リリース管理の承認/レビュー,リリース管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/15_change_and_release.md.tpl,service,apps/itsm_core/gitlab_push_notify,no,,,
UC-3614,UC-GL-475,リリース管理の改善施策の実施,リリース管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/15_change_and_release.md.tpl,service,apps/itsm_core/gitlab_push_notify,no,,,
UC-3615,UC-GL-476,リリース管理の方針/標準定義,リリース管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/15_change_and_release.md.tpl,service,apps/itsm_core/gitlab_push_notify,no,,,
UC-3616,UC-GL-477,リリース管理の標準テンプレートの整備,リリース管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/15_change_and_release.md.tpl,service,apps/itsm_core/gitlab_push_notify,no,,,
UC-3617,UC-GL-478,リリース管理の継続的改善,リリース管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/15_change_and_release.md.tpl,service,apps/itsm_core/gitlab_push_notify,no,,,
UC-3618,UC-GL-479,リリース管理の自動化/効率化,リリース管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/15_change_and_release.md.tpl,service,apps/itsm_core/gitlab_push_notify,no,,,
UC-3619,UC-GL-480,リリース管理の調査/分析,リリース管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/15_change_and_release.md.tpl,service,apps/itsm_core/gitlab_push_notify,no,,,
UC-3620,UC-GL-481,リリース管理の通知/コミュニケーション,リリース管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/15_change_and_release.md.tpl,service,apps/itsm_core/gitlab_push_notify,no,,,
UC-3621,UC-GL-482,リリース管理の運用手順の整備,リリース管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/15_change_and_release.md.tpl,service,apps/itsm_core/gitlab_push_notify,no,,,
UC-3622,UC-GL-483,リリース管理の関係者合意の形成,リリース管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/15_change_and_release.md.tpl,service,apps/itsm_core/gitlab_push_notify,no,,,
UC-3801,UC-GF-030,可用性管理のSLA/目標管理,可用性管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/13_quality_assurance_sla.md.tpl,service,platform-doc-only,no,,,
UC-3802,UC-GF-031,可用性管理のエスカレーション/連携,可用性管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,service,platform-doc-only,no,,,
UC-3803,UC-GF-032,可用性管理のデータ品質の維持,可用性管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,service,platform-doc-only,no,,,
UC-3804,UC-GF-033,可用性管理のナレッジの更新,可用性管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/14_knowledge_management.md.tpl,service,platform-doc-only,no,,,
UC-3805,UC-GF-034,可用性管理のレポート/振り返り,可用性管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,service,platform-doc-only,no,,,
UC-3806,UC-GF-035,可用性管理のレポートの標準化,可用性管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,service,platform-doc-only,no,,,
UC-3807,UC-GF-036,可用性管理の依存関係の整理,可用性管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,service,platform-doc-only,no,,,
UC-3808,UC-GF-037,可用性管理の分類/優先度付け,可用性管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,service,platform-doc-only,no,,,
UC-3809,UC-GF-038,可用性管理の受付/登録,可用性管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,platform-doc-only,no,,,
UC-3810,UC-GF-039,可用性管理の品質保証/監査,可用性管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/13_quality_assurance_sla.md.tpl,service,platform-doc-only,no,,,
UC-3811,UC-GF-040,可用性管理の実行/処理,可用性管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,service,platform-doc-only,no,,,
UC-3812,UC-GF-041,可用性管理の承認/レビュー,可用性管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,service,platform-doc-only,no,,,
UC-3813,UC-GF-042,可用性管理の改善施策の実施,可用性管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,service,platform-doc-only,no,,,
UC-3814,UC-GF-043,可用性管理の方針/標準定義,可用性管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,service,platform-doc-only,no,,,
UC-3815,UC-GF-044,可用性管理の標準テンプレートの整備,可用性管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,service,platform-doc-only,no,,,
UC-3816,UC-GF-045,可用性管理の継続的改善,可用性管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,service,platform-doc-only,no,,,
UC-3817,UC-GF-046,可用性管理の自動化/効率化,可用性管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,service,platform-doc-only,no,,,
UC-3818,UC-GF-047,可用性管理の調査/分析,可用性管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,service,platform-doc-only,no,,,
UC-3819,UC-GF-048,可用性管理の通知/コミュニケーション,可用性管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,service,platform-doc-only,no,,,
UC-3820,UC-GF-049,可用性管理の運用手順の整備,可用性管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,service,platform-doc-only,no,,,
UC-3821,UC-GF-050,可用性管理の関係者合意の形成,可用性管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,service,platform-doc-only,no,,,
UC-3901,UC-GL-484,問題管理のSLA/目標管理,問題管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/33_problem_management.md.tpl,service,platform-doc-only,no,,,
UC-3902,UC-GL-485,問題管理のエスカレーション/連携,問題管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/33_problem_management.md.tpl,service,platform-doc-only,no,,,
UC-3903,UC-GL-486,問題管理のデータ品質の維持,問題管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/33_problem_management.md.tpl,service,platform-doc-only,no,,,
UC-3904,UC-GL-487,問題管理のナレッジの更新,問題管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/33_problem_management.md.tpl,service,platform-doc-only,no,,,
UC-3905,UC-GL-488,問題管理のレポート/振り返り,問題管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/33_problem_management.md.tpl,service,platform-doc-only,no,,,
UC-3906,UC-GL-489,問題管理のレポートの標準化,問題管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/33_problem_management.md.tpl,service,platform-doc-only,no,,,
UC-3907,UC-GL-490,問題管理の依存関係の整理,問題管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/33_problem_management.md.tpl,service,platform-doc-only,no,,,
UC-3908,UC-GL-491,問題管理の分類/優先度付け,問題管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/33_problem_management.md.tpl,service,platform-doc-only,no,,,
UC-3909,UC-GL-492,問題管理の受付/登録,問題管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/33_problem_management.md.tpl,service,platform-doc-only,no,,,
UC-3910,UC-GL-493,問題管理の品質保証/監査,問題管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/33_problem_management.md.tpl,service,platform-doc-only,no,,,
UC-3911,UC-GL-494,問題管理の実行/処理,問題管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/33_problem_management.md.tpl,service,platform-doc-only,no,,,
UC-3912,UC-GL-495,問題管理の承認/レビュー,問題管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/33_problem_management.md.tpl,service,platform-doc-only,no,,,
UC-3913,UC-GL-496,問題管理の改善施策の実施,問題管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/33_problem_management.md.tpl,service,platform-doc-only,no,,,
UC-3914,UC-GL-497,問題管理の方針/標準定義,問題管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/33_problem_management.md.tpl,service,platform-doc-only,no,,,
UC-3915,UC-GL-498,問題管理の標準テンプレートの整備,問題管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/33_problem_management.md.tpl,service,platform-doc-only,no,,,
UC-3916,UC-GL-499,問題管理の継続的改善,問題管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/33_problem_management.md.tpl,service,platform-doc-only,no,,,
UC-3917,UC-GL-500,問題管理の自動化/効率化,問題管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/33_problem_management.md.tpl,service,platform-doc-only,no,,,
UC-3918,UC-GL-501,問題管理の調査/分析,問題管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/33_problem_management.md.tpl,service,platform-doc-only,no,,,
UC-3919,UC-GL-502,問題管理の通知/コミュニケーション,問題管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/33_problem_management.md.tpl,service,platform-doc-only,no,,,
UC-3920,UC-GL-503,問題管理の運用手順の整備,問題管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/33_problem_management.md.tpl,service,platform-doc-only,no,,,
UC-3921,UC-GL-504,問題管理の関係者合意の形成,問題管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/33_problem_management.md.tpl,service,platform-doc-only,no,,,
UC-4101,UC-EXA-02,スケジュール実行,変更管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/15_change_and_release.md.tpl,service,platform-doc-only,no,,,
UC-4102,UC-GL-878,承認結果通知,変更管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/15_change_and_release.md.tpl,service,platform-doc-only,no,,,
UC-4201,UC-GL-438,スコープラベル,変更管理; プロジェクト管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/15_change_and_release.md.tpl,service,platform-doc-only,no,,,
UC-4301,UC-N8N-04,スケジュール実行,変更管理; 測定および報告,scripts/itsm/gitlab/templates/service-management/docs/usecases/15_change_and_release.md.tpl,service,platform-doc-only,no,,,
UC-4401,UC-GF-052,容量・パフォーマンス管理のSLA/目標管理,容量・パフォーマンス管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/13_quality_assurance_sla.md.tpl,service,platform-doc-only,no,,,
UC-4402,UC-GF-053,容量・パフォーマンス管理のエスカレーション/連携,容量・パフォーマンス管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,service,platform-doc-only,no,,,
UC-4403,UC-GF-054,容量・パフォーマンス管理のデータ品質の維持,容量・パフォーマンス管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,service,platform-doc-only,no,,,
UC-4404,UC-GF-055,容量・パフォーマンス管理のナレッジの更新,容量・パフォーマンス管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/14_knowledge_management.md.tpl,service,platform-doc-only,no,,,
UC-4405,UC-GF-056,容量・パフォーマンス管理のレポート/振り返り,容量・パフォーマンス管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,service,platform-doc-only,no,,,
UC-4406,UC-GF-057,容量・パフォーマンス管理のレポートの標準化,容量・パフォーマンス管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,service,platform-doc-only,no,,,
UC-4407,UC-GF-058,容量・パフォーマンス管理の依存関係の整理,容量・パフォーマンス管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,service,platform-doc-only,no,,,
UC-4408,UC-GF-059,容量・パフォーマンス管理の分類/優先度付け,容量・パフォーマンス管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,service,platform-doc-only,no,,,
UC-4409,UC-GF-060,容量・パフォーマンス管理の受付/登録,容量・パフォーマンス管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,platform-doc-only,no,,,
UC-4410,UC-GF-061,容量・パフォーマンス管理の品質保証/監査,容量・パフォーマンス管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/13_quality_assurance_sla.md.tpl,service,platform-doc-only,no,,,
UC-4411,UC-GF-062,容量・パフォーマンス管理の実行/処理,容量・パフォーマンス管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,service,platform-doc-only,no,,,
UC-4412,UC-GF-063,容量・パフォーマンス管理の承認/レビュー,容量・パフォーマンス管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,service,platform-doc-only,no,,,
UC-4413,UC-GF-064,容量・パフォーマンス管理の改善施策の実施,容量・パフォーマンス管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,service,platform-doc-only,no,,,
UC-4414,UC-GF-065,容量・パフォーマンス管理の方針/標準定義,容量・パフォーマンス管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,service,platform-doc-only,no,,,
UC-4415,UC-GF-066,容量・パフォーマンス管理の標準テンプレートの整備,容量・パフォーマンス管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,service,platform-doc-only,no,,,
UC-4416,UC-GF-067,容量・パフォーマンス管理の継続的改善,容量・パフォーマンス管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,service,platform-doc-only,no,,,
UC-4417,UC-GF-068,容量・パフォーマンス管理の自動化/効率化,容量・パフォーマンス管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,service,platform-doc-only,no,,,
UC-4418,UC-GF-069,容量・パフォーマンス管理の調査/分析,容量・パフォーマンス管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,service,platform-doc-only,no,,,
UC-4419,UC-GF-070,容量・パフォーマンス管理の通知/コミュニケーション,容量・パフォーマンス管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,service,platform-doc-only,no,,,
UC-4420,UC-GF-071,容量・パフォーマンス管理の運用手順の整備,容量・パフォーマンス管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,service,platform-doc-only,no,,,
UC-4421,UC-GF-072,容量・パフォーマンス管理の関係者合意の形成,容量・パフォーマンス管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,service,platform-doc-only,no,,,
